algorithm_name,input_size,trial,time_ms,memory_bytes,resulting_height,timestamp
balanced_sorted,5000,5,0.2948,177016,13,1787739604707
bst_random,10000,1,1.0305,269696,30,1787739604712
bst_sorted,10000,1,384.9681,252800,10000,1787739605101
balanced_random,10000,1,1.6338,354144,16,1787739605107
balanced_sorted,10000,1,0.6090,354144,14,1787739605113
bst_random,10000,2,1.0448,269696,30,1787739605119
bst_sorted,10000,2,325.6193,252800,10000,1787739605449
balanced_random,10000,2,1.3770,354144,16,1787739605454
balanced_sorted,10000,2,0.5635,354144,14,1787739605459
bst_random,10000,3,1.0640,269696,30,1787739605465
bst_sorted,10000,3,311.6579,252800,10000,1787739605780
balanced_random,10000,3,1.3369,354144,16,1787739605786
balanced_sorted,10000,3,0.5681,354144,14,1787739605790
bst_random,10000,4,1.0929,269696,30,1787739605795
bst_sorted,10000,4,309.6948,252800,10000,1787739606109
balanced_random,10000,4,1.3155,354144,16,1787739606114
balanced_sorted,10000,4,0.5798,354144,14,1787739606118
bst_random,10000,5,1.0151,269696,30,1787739606122
bst_sorted,10000,5,303.2164,252800,10000,1787739606429
balanced_random,10000,5,1.2973,354144,16,1787739606434
balanced_sorted,10000,5,0.5403,354144,14,1787739606439
bst_random,20000,1,2.5182,507816,38,1787739606446
bst_sorted,20000,1,1177.1716,507816,20000,1787739607627
balanced_random,20000,1,3.5542,677376,17,1787739607636
balanced_sorted,20000,1,1.2483,677376,15,1787739607644
bst_random,20000,2,2.4273,513360,38,1787739607651
bst_sorted,20000,2,1177.8357,513360,20000,1787739608833
balanced_random,20000,2,3.2253,692168,17,1787739608841
balanced_sorted,20000,2,1.1995,692168,15,1787739608849
bst_random,20000,3,2.5009,516600,38,1787739608855
bst_sorted,20000,3,1175.9936,516600,20000,1787739610036
balanced_random,20000,3,3.2028,689024,17,1787739610045
balanced_sorted,20000,3,1.2067,689024,15,1787739610053
bst_random,20000,4,2.6249,521600,38,1787739610059
bst_sorted,20000,4,1182.1081,521600,20000,1787739611246
balanced_random,20000,4,3.2403,678288,17,1787739611255
balanced_sorted,20000,4,1.1840,678288,15,1787739611262
bst_random,20000,5,2.3530,513912,38,1787739611268
bst_sorted,20000,5,1178.7392,513912,20000,1787739612452
balanced_random,20000,5,3.2317,676400,17,1787739612460
balanced_sorted,20000,5,1.1653,676400,15,1787739612468
